,movieID,title,genres,imdb_link,tmdb_link,users_avg_ratings_to_movie
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://www.imdb.com/title/tt0114709/,https://www.themoviedb.org/movie/862/,3.9209302325581397
1,2,Jumanji (1995),Adventure|Children|Fantasy,https://www.imdb.com/title/tt0113497/,https://www.themoviedb.org/movie/8844/,3.4318181818181817
2,3,Grumpier Old Men (1995),Comedy|Romance,https://www.imdb.com/title/tt0113228/,https://www.themoviedb.org/movie/15602/,3.2596153846153846
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://www.imdb.com/title/tt0114885/,https://www.themoviedb.org/movie/31357/,2.357142857142857
4,5,Father of the Bride Part II (1995),Comedy,https://www.imdb.com/title/tt0113041/,https://www.themoviedb.org/movie/11862/,3.0714285714285716
5,6,Heat (1995),Action|Crime|Thriller,https://www.imdb.com/title/tt0113277/,https://www.themoviedb.org/movie/949/,3.946078431372549
6,7,Sabrina (1995),Comedy|Romance,https://www.imdb.com/title/tt0114319/,https://www.themoviedb.org/movie/11860/,3.185185185185185
7,8,Tom and Huck (1995),Adventure|Children,https://www.imdb.com/title/tt0112302/,https://www.themoviedb.org/movie/45325/,2.875
8,9,Sudden Death (1995),Action,https://www.imdb.com/title/tt0114576/,https://www.themoviedb.org/movie/9091/,3.125
9,10,GoldenEye (1995),Action|Adventure|Thriller,https://www.imdb.com/title/tt0113189/,https://www.themoviedb.org/movie/710/,3.496212121212121
10,11,"American President, The (1995)",Comedy|Drama|Romance,https://www.imdb.com/title/tt0112346/,https://www.themoviedb.org/movie/9087/,3.6714285714285713
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://www.imdb.com/title/tt0112896/,https://www.themoviedb.org/movie/12110/,2.4210526315789473
12,13,Balto (1995),Adventure|Animation|Children,https://www.imdb.com/title/tt0112453/,https://www.themoviedb.org/movie/21032/,3.125
13,14,Nixon (1995),Drama,https://www.imdb.com/title/tt0113987/,https://www.themoviedb.org/movie/10858/,3.8333333333333335
14,15,Cutthroat Island (1995),Action|Adventure|Romance,https://www.imdb.com/title/tt0112760/,https://www.themoviedb.org/movie/1408/,3.0
15,16,Casino (1995),Crime|Drama,https://www.imdb.com/title/tt0112641/,https://www.themoviedb.org/movie/524/,3.926829268292683
16,17,Sense and Sensibility (1995),Drama|Romance,https://www.imdb.com/title/tt0114388/,https://www.themoviedb.org/movie/4584/,3.7761194029850746
17,18,Four Rooms (1995),Comedy,https://www.imdb.com/title/tt0113101/,https://www.themoviedb.org/movie/5/,3.7
18,19,Ace Ventura: When Nature Calls (1995),Comedy,https://www.imdb.com/title/tt0112281/,https://www.themoviedb.org/movie/9273/,2.727272727272727
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://www.imdb.com/title/tt0113845/,https://www.themoviedb.org/movie/11517/,2.5
20,21,Get Shorty (1995),Comedy|Crime|Thriller,https://www.imdb.com/title/tt0113161/,https://www.themoviedb.org/movie/8012/,3.49438202247191
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://www.imdb.com/title/tt0112722/,https://www.themoviedb.org/movie/1710/,3.2222222222222223
22,23,Assassins (1995),Action|Crime|Thriller,https://www.imdb.com/title/tt0112401/,https://www.themoviedb.org/movie/9691/,3.125
23,24,Powder (1995),Drama|Sci-Fi,https://www.imdb.com/title/tt0114168/,https://www.themoviedb.org/movie/12665/,3.125
24,25,Leaving Las Vegas (1995),Drama|Romance,https://www.imdb.com/title/tt0113627/,https://www.themoviedb.org/movie/451/,3.625
25,26,Othello (1995),Drama,https://www.imdb.com/title/tt0114057/,https://www.themoviedb.org/movie/16420/,3.5
26,27,Now and Then (1995),Children|Drama,https://www.imdb.com/title/tt0114011/,https://www.themoviedb.org/movie/9263/,3.3333333333333335
27,28,Persuasion (1995),Drama|Romance,https://www.imdb.com/title/tt0114117/,https://www.themoviedb.org/movie/17015/,4.2272727272727275
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://www.imdb.com/title/tt0112682/,https://www.themoviedb.org/movie/902/,4.0131578947368425
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://www.imdb.com/title/tt0115012/,https://www.themoviedb.org/movie/37557/,3.0
30,31,Dangerous Minds (1995),Drama,https://www.imdb.com/title/tt0112792/,https://www.themoviedb.org/movie/9909/,3.1842105263157894
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://www.imdb.com/title/tt0114746/,https://www.themoviedb.org/movie/63/,3.983050847457627
32,34,Babe (1995),Children|Drama,https://www.imdb.com/title/tt0112431/,https://www.themoviedb.org/movie/9598/,3.65234375
33,36,Dead Man Walking (1995),Crime|Drama,https://www.imdb.com/title/tt0112818/,https://www.themoviedb.org/movie/687/,3.8358208955223883
34,38,It Takes Two (1995),Children|Comedy,https://www.imdb.com/title/tt0113442/,https://www.themoviedb.org/movie/33689/,2.125
35,39,Clueless (1995),Comedy|Romance,https://www.imdb.com/title/tt0112697/,https://www.themoviedb.org/movie/9603/,3.293269230769231
36,40,"Cry, the Beloved Country (1995)",Drama,https://www.imdb.com/title/tt0112749/,https://www.themoviedb.org/movie/34615/,4.25
37,41,Richard III (1995),Drama|War,https://www.imdb.com/title/tt0114279/,https://www.themoviedb.org/movie/31174/,3.7
38,42,Dead Presidents (1995),Action|Crime|Drama,https://www.imdb.com/title/tt0112819/,https://www.themoviedb.org/movie/11443/,3.0
39,43,Restoration (1995),Drama,https://www.imdb.com/title/tt0114272/,https://www.themoviedb.org/movie/35196/,3.1875
40,44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://www.imdb.com/title/tt0113855/,https://www.themoviedb.org/movie/9312/,2.5434782608695654
41,45,To Die For (1995),Comedy|Drama|Thriller,https://www.imdb.com/title/tt0114681/,https://www.themoviedb.org/movie/577/,3.3125
42,46,How to Make an American Quilt (1995),Drama|Romance,https://www.imdb.com/title/tt0113347/,https://www.themoviedb.org/movie/11861/,3.066666666666667
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,https://www.imdb.com/title/tt0114369/,https://www.themoviedb.org/movie/807/,3.9753694581280787
44,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://www.imdb.com/title/tt0114148/,https://www.themoviedb.org/movie/10530/,3.1470588235294117
45,49,When Night Is Falling (1995),Drama|Romance,https://www.imdb.com/title/tt0114916/,https://www.themoviedb.org/movie/8391/,3.0
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,https://www.imdb.com/title/tt0114814/,https://www.themoviedb.org/movie/629/,4.237745098039215
47,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,https://www.imdb.com/title/tt0113819/,https://www.themoviedb.org/movie/11448/,3.4642857142857144
48,53,Lamerica (1994),Adventure|Drama,https://www.imdb.com/title/tt0110299/,https://www.themoviedb.org/movie/49133/,5.0
